 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10)
   0.1068337336,   0.1128488705,   0.1132431030,   0.1073206440,   0.1226361841,   0.3486155570,   0.0970414802,   0.1446385533,   0.1723756790,   0.4553938806
   0.1067145541,   0.1119912565,   0.1126827449,   0.1067466512,   0.1219288483,   0.3496229947,   0.0969701111,   0.1439218074,   0.1714901626,   0.4554833174
   0.1069254577,   0.1111675873,   0.1121316329,   0.1061848551,   0.1212412640,   0.3505770564,   0.0969229415,   0.1432335377,   0.1706307381,   0.4555300474
   0.1059267595,   0.1103694886,   0.1115835980,   0.1056317836,   0.1205656454,   0.3514683843,   0.0968961418,   0.1425645351,   0.1697860807,   0.4555070698
   0.1047374979,   0.1095956638,   0.1110391840,   0.1050872281,   0.1199017167,   0.3522994518,   0.0968884677,   0.1419145167,   0.1689562947,   0.4554181397
   0.1025121510,   0.1088470593,   0.1105011255,   0.1045519114,   0.1192517057,   0.3530766964,   0.0968996659,   0.1412864327,   0.1681448668,   0.4552782774
   0.1020148098,   0.1081245393,   0.1099719852,   0.1040267050,   0.1186176389,   0.3538067937,   0.0969295129,   0.1406829357,   0.1673551798,   0.4551018476
   0.1013044640,   0.1074231416,   0.1094480902,   0.1035095826,   0.1179948375,   0.3544850945,   0.0969752222,   0.1400983632,   0.1665806770,   0.4548736215
   0.1007387564,   0.1067476422,   0.1089358032,   0.1030032113,   0.1173896119,   0.3551248908,   0.0970381796,   0.1395406872,   0.1658310741,   0.4546263814
   0.0979949459,   0.1060915887,   0.1084296778,   0.1025048047,   0.1167953908,   0.3557181656,   0.0971149579,   0.1390019506,   0.1650969684,   0.4543363154
   0.0970099047,   0.1054535136,   0.1079293191,   0.1020139083,   0.1162113696,   0.3562660217,   0.0972040966,   0.1384810656,   0.1643772870,   0.4540034235
   0.0964856222,   0.1048325822,   0.1074347124,   0.1015302688,   0.1156372055,   0.3567700386,   0.0973042175,   0.1379776746,   0.1636715680,   0.4536297619
   0.0962707996,   0.1042350009,   0.1069533452,   0.1010572314,   0.1150805280,   0.3572467864,   0.0974176675,   0.1375012994,   0.1629918963,   0.4532546103
   0.0948015079,   0.1036490351,   0.1064738631,   0.1005893946,   0.1145285815,   0.3576762080,   0.0975383446,   0.1370361894,   0.1623192132,   0.4528239965
