time,Var1,m,water_free,runoff,water_leach,waterF_1_,waterF_2_,waterF_3_,waterF_4_,waterF_5_,waterF_6_,waterF_7_,waterF_8_,waterF_9_,wpotent_1_,wpotent_2_,wpotent_3_,wpotent_4_,wpotent_5_,wpotent_6_,wpotent_7_,wpotent_8_,wpotent_9_,wpotent_10_
25-May-2018,12228.5,12228.5,0,0,0,-0.00341621817916667,-0.0008890898875,2.47842708333333e-05,-0.000142949154166667,-0.000196219633333333,-0.000167915466666667,-8.61187166666667e-05,0,0,-309.347474416092,-264.002595901487,-238.276703516646,-210.268067042037,-190.134799321496,-170.026677449546,-149.692246754962,-119.437070528654,-20.7470054626,-76.3925593694
26-May-2018,12252.5,12252.5,0,0,0,-0.00269840585833333,-0.00130717205416667,-6.89149166666667e-05,-0.000203271520833333,-0.0002198772875,-0.000165246608333333,-8.45826625e-05,0,0,-330.519312540683,-280.266731262208,-246.137844721479,-210.516760508221,-190.326121012358,-170.204239527375,-149.872913996371,-119.689368565875,-20.7470054626,-76.3937746683667
27-May-2018,12276.5,12276.5,0,0,0,-0.0024185100375,-0.00124839128333333,-0.000165323454166667,-0.000281323975,-0.000261931725,-0.0001757770875,-8.31690583333333e-05,0,0,-349.48396809895,-292.171703338617,-254.45919418335,-210.827111562092,-190.561276117958,-170.415041605637,-150.060155232746,-119.937998135887,-20.7470054626,-76.3949553171833
28-May-2018,12300.5,12300.5,0,0,0,-0.00213404572916667,-0.00117572841666667,-0.000253502970833333,-0.000358580475,-0.0003117191125,-0.000195951758333333,-8.201245e-05,0,0,-366.827465057375,-303.523900349929,-262.381504058833,-211.191097259517,-190.849161148071,-170.673631668083,-150.274892171221,-120.185683886196,-20.7470054626,-76.396182696025
29-May-2018,12324.5,12324.5,0,0,0,-0.00199066869583333,-0.00110581074583333,-0.00033085775,-0.000418579666666667,-0.0003501686875,-0.000214881645833333,-8.112635e-05,0,0,-386.036801656083,-314.008833567304,-269.605714162196,-211.559248606371,-191.156168619796,-170.957113901775,-150.516002019242,-120.4297955831,-20.7470054626,-76.3973477681458
30-May-2018,12348.5,12348.5,0,0,0,-0.00172950615416667,-0.00105493651666667,-0.0003987792125,-0.000464651508333333,-0.0003789952375,-0.000230329558333333,-8.0462025e-05,0,0,-399.908194224033,-324.059173583983,-276.204760233554,-211.925178527833,-191.473203023275,-171.255620320646,-150.778270085658,-120.670235951742,-20.7470054626,-76.3984257380125
31-May-2018,12372.5,12372.5,0,0,0,-0.001626615475,-0.000996130716666667,-0.0004557289875,-0.0005241834125,-0.0004171265875,-0.000244974683333333,-7.99730916666667e-05,0,0,-416.432033538808,-332.799221038817,-282.126356760663,-212.331564585363,-191.815997441608,-171.573937733971,-151.060958862304,-120.909990628554,-20.7470054626,-76.399496714275
01-Jun-2018,12396.5,12396.5,0,0,0,-0.00136156584166667,-0.000939117116666667,-0.000503791758333333,-0.000592409183333333,-0.000471383183333333,-0.000269742458333333,-7.97536291666667e-05,0,0,-422.732201894117,-340.869527180983,-287.673238118483,-212.828440984092,-192.237895965571,-171.960826237996,-151.389208475758,-121.157670656846,-20.7470054626,-76.4008299509708
02-Jun-2018,12420.5,12420.5,0,0,0,-0.0012445917625,-0.000877626429166667,-0.0005421340125,-0.000609689783333333,-0.000486639216666667,-0.000285686958333333,-7.97665375e-05,0,0,-430.885692596438,-347.0221862793,-292.335095723463,-213.262919108067,-192.647197723388,-172.357397079463,-151.744205474854,-121.402804056804,-20.7470054626,-76.4020560582417
03-Jun-2018,12444.5,12444.5,0,0,0,0.00967077636666667,0.000163148054166667,-0.00055856655,-0.000594779841666667,-0.000472042695833333,-0.000285108245833333,-7.98123666666667e-05,0,0,-370.302452723192,-328.557048797608,-294.827047983812,-213.603180567429,-192.99581718445,-172.711409250892,-152.091739654546,-121.639158566792,-20.7470054626,-76.4029575983833
