"","swc.1.","swc.2.","swc.3.","swc.4.","swc.5.","swc.6.","swc.7.","swc.8.","swc.9.","swc.10.","duplicate_swc.1.","duplicate_swc.2.","duplicate_swc.3.","duplicate_swc.4.","time"
"40",0.0782201514,0.1081580669,0.1072131619,0.0730218589,0.1593897194,0.2056989521,0.1408376545,0.0832796767,0.0805159733,0.1600498408,0.0782201514,0.1081580669,0.1072131619,0.0730218589,2018-02-09
"41",0.0808376372,0.108056888,0.1069596261,0.0729306787,0.1591376364,0.2054359168,0.140575856,0.0830794424,0.0803987309,0.1601070762,0.0808376372,0.108056888,0.1069596261,0.0729306787,2018-02-10
"42",0.0807302818,0.1079705507,0.106798023,0.0728349388,0.1588735878,0.2051637173,0.140313834,0.0828822255,0.0802851841,0.1601615101,0.0807302818,0.1079705507,0.106798023,0.0728349388,2018-02-11
"43",0.0821683556,0.1081522778,0.1066951901,0.0727377012,0.1586032212,0.2048849463,0.1400472522,0.0826878101,0.0801751316,0.160213232,0.0821683556,0.1081522778,0.1066951901,0.0727377012,2018-02-12
"44",0.082186237,0.1081837341,0.106598936,0.0726304576,0.15830639,0.2045812011,0.1397634447,0.0824931934,0.0800679773,0.1602590382,0.082186237,0.1081837341,0.106598936,0.0726304576,2018-02-13
"45",0.0824406892,0.1082041264,0.1065176129,0.0725233555,0.1580059677,0.2042708993,0.1394690275,0.0823004916,0.0799639374,0.1603018939,0.0824406892,0.1082041264,0.1065176129,0.0725233555,2018-02-14
"46",0.0815332606,0.1081026867,0.1064765453,0.0724256709,0.1577272564,0.2039795667,0.1391837001,0.0821126625,0.0798632503,0.1603457183,0.0815332606,0.1081026867,0.1064765453,0.0724256709,2018-02-15
"47",0.082800135,0.1082103774,0.1064759567,0.0723397955,0.1574784368,0.2037167549,0.1389187425,0.0819309428,0.0797659904,0.160392046,0.082800135,0.1082103774,0.1064759567,0.0723397955,2018-02-16
"48",0.0816432536,0.1080851555,0.1064111367,0.0722391978,0.1571968496,0.2034270465,0.1386440545,0.0817480311,0.0796709508,0.1604320854,0.0816432536,0.1080851555,0.1064111367,0.0722391978,2018-02-17
"49",0.0818900168,0.1079706103,0.1063119844,0.0721370429,0.1569107473,0.2031321079,0.1383637488,0.0815668777,0.0795783997,0.1604696661,0.0818900168,0.1079706103,0.1063119844,0.0721370429,2018-02-18
