 NEE,GPP,Reco,FoliageC
    -2.48226404,     3.47999263,     0.99772877,  57.0620384216
    -2.32794738,     3.36988330,     1.04193580,  57.9101562500
    -3.52771330,     4.93101406,     1.40330100,  59.1446685791
    -3.48734736,     4.92974329,     1.44239664,  60.6936149597
    -3.13292456,     4.54833841,     1.41541409,  62.1680030823
    -3.20063162,     4.67847443,     1.47784293,  63.5329666138
    -2.64767575,     4.02890873,     1.38123310,  64.7476501465
    -2.32569981,     3.57823610,     1.25253594,  65.6899948120
    -2.30262876,     3.54326463,     1.24063575,  66.4791946411
    -1.99265778,     3.17852879,     1.18587065,  67.1712417603
    -1.80028701,     2.91835117,     1.11806440,  67.7029571533
    -1.69336593,     2.73543501,     1.04206920,  68.1257019043
    -2.04797697,     3.02567625,     0.97769904,  68.5417861938
    -1.86509633,     2.78738379,     0.92228729,  68.9621734619
    -1.72482347,     2.63328123,     0.90845782,  69.2755508423
    -1.32150817,     2.21936321,     0.89785480,  69.4894866943
    -0.93719769,     1.80399728,     0.86679959,  69.5230255127
    -0.76326114,     1.63461196,     0.87135082,  69.4461669922
    -0.68059766,     1.51093447,     0.83033675,  69.2937393188
    -0.85033470,     1.80664134,     0.95630670,  69.1972122192
    -3.61967373,     5.06331253,     1.44363880,  69.8874664307
    -3.49329829,     4.90889215,     1.41559398,  71.2129745483
    -3.20233345,     4.61567688,     1.41334391,  72.3721008301
    -2.80631161,     4.21685076,     1.41053867,  73.4735336304
    -2.37182522,     3.79563189,     1.42380643,  74.3549804688
    -2.48456836,     3.89929271,     1.41472471,  75.1446456909
    -3.20700526,     4.63729715,     1.43029213,  76.0542755127
    -3.40951896,     4.85334492,     1.44382572,  77.1882705688
    -3.29266334,     4.77717018,     1.48450625,  78.2884140015
    -2.74574971,     4.07131433,     1.32556522,  79.2328186035
    -1.82582843,     3.03968835,     1.21386015,  79.7907104492
    -1.51783478,     2.62456226,     1.10672748,  80.0440368652
    -1.23567319,     2.35136867,     1.11569560,  80.1238098145
    -1.10734773,     2.22260809,     1.11526000,  80.1728134155
    -0.84343457,     1.91625166,     1.07281721,  80.1044998169
    -1.11620164,     2.15800309,     1.04180145,  79.9937210083
    -0.49909294,     1.46801913,     0.96892619,  79.8415832520
    -1.69007385,     2.98106360,     1.29098940,  79.7916946411
    -1.55762255,     2.64703035,     1.08940768,  80.0062866211
    -0.79408187,     1.84992325,     1.05584168,  80.0017929077
    -1.12221444,     2.57226706,     1.45005262,  79.9594650269
    -1.00165474,     2.06223941,     1.06058466,  79.9692687988
    -1.17784476,     2.04699469,     0.86914986,  79.8348846436
    -1.14673138,     1.98397493,     0.83724344,  79.7469863892
    -0.88614756,     1.71857715,     0.83242959,  79.5747299194
    -1.38015687,     2.24577737,     0.86562049,  79.4057998657
    -1.14091623,     2.11735678,     0.97644019,  79.4222869873
    -1.54790413,     3.08644223,     1.53853834,  79.5804061890
    -2.15866256,     3.37699223,     1.21832955,  80.0117721558
    -1.93811309,     3.15830326,     1.22018993,  80.4218978882
    -1.76166749,     3.14303374,     1.38136601,  80.7817153931
    -1.25803328,     2.62723541,     1.36920202,  81.0525665283
    -1.17736292,     2.45085740,     1.27349436,  81.1643371582
    -1.52210319,     2.68647194,     1.16436851,  81.2852478027
    -1.01692843,     2.07311773,     1.05618930,  81.3134918213
    -0.41834667,     1.43759942,     1.01925266,  81.1068496704
    -0.62952226,     1.61177623,     0.98225379,  80.7847290039
    -0.29735550,     1.20837247,     0.91101688,  80.4400482178
    -0.07526696,     1.00777566,     0.93250865,  79.9669265747
    -0.02309727,     0.96517432,     0.94207698,  79.4518737793
    -0.02677394,     0.95874482,     0.93197095,  78.9245223999
    -0.02552223,     0.87920308,     0.85368097,  78.3831481934
     0.12211885,     0.71601552,     0.83813447,  77.7982559204
     0.14542285,     0.66201186,     0.80743474,  77.1734237671
     0.13819419,     0.63425505,     0.77244931,  76.5469055176
     0.28637779,     0.45212728,     0.73850507,  75.8733596802
     0.35152060,     0.41923684,     0.77075756,  75.1770858765
     0.30147254,     0.43489182,     0.73636442,  74.4822540283
     0.39356661,     0.38762233,     0.78118885,  73.7828598022
     0.22779873,     0.46366724,     0.69146597,  73.1019897461
     0.01535432,     0.85581601,     0.87117028,  72.4922332764
    -0.32781929,     1.47973883,     1.15191948,  72.2187881470
    -0.10504137,     1.33548987,     1.23044837,  71.9934082031
    -0.51094764,     1.93556094,     1.42461348,  71.9086532593
    -0.55790722,     1.93841875,     1.38051200,  71.9497909546
    -0.50159216,     1.86232615,     1.36073422,  71.9666824341
    -0.95968968,     2.26862621,     1.30893660,  72.0388946533
    -0.56149507,     1.87734210,     1.31584680,  72.1465682983
    -0.82537109,     2.13851213,     1.31314123,  72.2017822266
    -0.96391058,     2.27827120,     1.31436062,  72.3229522705
    -0.86676234,     2.25273156,     1.38596904,  72.4894332886
    -0.78092796,     2.16855764,     1.38763011,  72.6340103149
    -0.56970590,     1.93810236,     1.36839628,  72.7244873047
    -1.08432055,     2.27601910,     1.19169867,  72.7960510254
    -0.79373294,     1.73504293,     0.94130993,  72.8574600220
    -0.61836171,     1.64390886,     1.02554703,  72.7594909668
    -0.37454921,     1.34206855,     0.96751928,  72.5825805664
    -0.39116007,     1.30759740,     0.91643715,  72.3225326538
    -0.34358639,     1.19097495,     0.84738863,  72.0257110596
    -0.32116511,     1.16197276,     0.84080756,  71.6917114258
    -0.17217034,     0.97681612,     0.80464578,  71.3235931396
    -0.04934879,     0.80457562,     0.75522685,  70.8841094971
     0.06177573,     0.75384659,     0.81562227,  70.3998260498
     0.07781577,     0.70404321,     0.78185886,  69.8967590332
    -0.05515502,     0.75025535,     0.69510031,  69.3883285522
    -0.00907337,     0.66184717,     0.65277380,  68.8812255859
     0.02494529,     0.54672277,     0.57166803,  68.3366241455
    -0.05320182,     0.66521615,     0.61201423,  67.7953186035
    -0.10569530,     0.66770720,     0.56201190,  67.3055267334
    -0.01754208,     0.61811453,     0.60057253,  66.8187713623
     0.01775138,     0.78767926,     0.80543065,  66.3423843384
    -0.32397473,     1.21488106,     0.89090645,  66.0569763184
    -0.25642121,     1.02031386,     0.76389259,  65.7925567627
    -0.15706579,     0.89314777,     0.73608196,  65.4654159546
    -0.09577429,     0.77743989,     0.68166548,  65.0821228027
