 NEE,GPP,Reco,FoliageC
     0.00565809,     0.01216646,     0.01782455,   0.0682551563
     0.00839272,     0.01214869,     0.02054142,   0.0728606358
     0.00729432,     0.01198557,     0.01927988,   0.0771813914
     0.00750955,     0.01089259,     0.01840214,   0.0810485780
     0.00835507,     0.00949661,     0.01785168,   0.0845917240
     0.00911114,     0.00706536,     0.01617650,   0.0871346071
    -0.03987156,     0.07808787,     0.03821632,   0.1044524610
    -0.11976238,     0.20483503,     0.08507268,   0.1696463376
    -0.24373774,     0.36187184,     0.11813410,   0.3039743602
    -0.20722622,     0.31568819,     0.10846200,   0.4661164284
    -0.20501871,     0.31466144,     0.10964268,   0.6124094725
    -0.08273669,     0.16914588,     0.08640917,   0.7211700678
    -0.07699250,     0.13987249,     0.06287999,   0.7669730783
    -0.04849735,     0.10232654,     0.05382921,   0.8117040396
    -0.13738751,     0.20181087,     0.06442336,   0.8213291168
    -0.16996008,     0.24507876,     0.07511868,   0.9076194167
    -0.15356991,     0.23304620,     0.07947631,   1.0099145174
    -0.14497079,     0.22326978,     0.07829899,   1.1050001383
    -0.12885438,     0.20370822,     0.07485381,   1.1916213036
    -0.12268119,     0.19612791,     0.07344674,   1.2722415924
    -0.07567617,     0.13674736,     0.06107118,   1.3370592594
    -0.03593663,     0.07659659,     0.04065996,   1.3529950380
    -0.06520595,     0.11459573,     0.04938981,   1.3811078072
    -0.07343693,     0.13530463,     0.06186769,   1.4211724997
    -0.15952788,     0.24377067,     0.08424283,   1.4980199337
    -0.06166030,     0.12208834,     0.06042804,   1.5375659466
    -0.09550378,     0.15386058,     0.05835681,   1.5552967787
    -0.03866240,     0.11509884,     0.07643644,   1.5971739292
    -0.21431099,     0.32403895,     0.10972797,   1.6456439495
    -0.30294606,     0.44431278,     0.14136674,   1.8154163361
    -0.26834601,     0.41782466,     0.14947858,   2.0144517422
    -0.21690783,     0.33586881,     0.11896096,   2.1564695835
    -0.24980547,     0.37595215,     0.12614666,   2.3077261448
    -0.18811218,     0.30711639,     0.11900419,   2.4470131397
    -0.20899904,     0.32827222,     0.11927323,   2.5790097713
    -0.14418775,     0.25469077,     0.11050302,   2.6938407421
    -0.16590382,     0.25987199,     0.09396813,   2.7577791214
    -0.17468995,     0.27658081,     0.10189084,   2.8544645309
    -0.08593539,     0.15795743,     0.07202205,   2.9232001305
    -0.15626796,     0.23975797,     0.08349001,   2.9788329601
    -0.12557240,     0.21033314,     0.08476072,   3.0557439327
    -0.13813011,     0.23008539,     0.09195525,   3.1250545979
    -0.11305749,     0.20775223,     0.09469475,   3.1962387562
    -0.10826623,     0.19214274,     0.08387651,   3.2526481152
    -0.14808623,     0.24304122,     0.09495495,   3.3240144253
    -0.11348052,     0.20781451,     0.09433402,   3.3978936672
    -0.19573756,     0.33477867,     0.13904113,   3.4929769039
    -0.26521048,     0.41200367,     0.14679322,   3.6403245926
    -0.24537143,     0.39327541,     0.14790398,   3.7993197441
    -0.10312418,     0.20385593,     0.10073175,   3.9017603397
    -0.14128435,     0.22893502,     0.08765067,   3.9640977383
    -0.22127128,     0.31851137,     0.09724003,   4.0257515907
    -0.13403606,     0.23322742,     0.09919138,   4.1147160530
    -0.28687528,     0.41862866,     0.13175346,   4.2257618904
    -0.28003070,     0.41636303,     0.13633236,   4.3886494637
    -0.26137456,     0.40524322,     0.14386868,   4.5415334702
    -0.19756025,     0.32595176,     0.12839147,   4.6718635559
    -0.20497037,     0.33296710,     0.12799676,   4.7772030830
    -0.19507784,     0.31246838,     0.11739054,   4.8779530525
    -0.19934176,     0.30771014,     0.10836832,   4.9699954987
    -0.20757107,     0.31321841,     0.10564737,   5.0576910973
    -0.29721025,     0.43153718,     0.13432695,   5.1721596718
    -0.39767885,     0.56009936,     0.16242048,   5.3768825531
    -0.42955163,     0.60840434,     0.17885278,   5.6010556221
    -0.35203883,     0.50943357,     0.15739478,   5.8225722313
    -0.39012080,     0.55739838,     0.16727753,   6.0130658150
    -0.38386145,     0.54813254,     0.16427116,   6.2136688232
    -0.32902443,     0.47612759,     0.14710315,   6.3868112564
    -0.26868132,     0.44405949,     0.17537819,   6.5327668190
    -0.20563954,     0.33087754,     0.12523805,   6.6600594521
    -0.32899022,     0.45519111,     0.12620090,   6.7619876862
    -0.31087935,     0.43650565,     0.12562627,   6.8985600471
    -0.29399866,     0.41968861,     0.12568998,   7.0236916542
    -0.25540569,     0.38122198,     0.12581638,   7.1326427460
    -0.26053938,     0.38346133,     0.12292191,   7.2315344810
    -0.21670252,     0.32872391,     0.11202142,   7.3175835609
    -0.20734519,     0.31853208,     0.11118686,   7.3837633133
    -0.19311923,     0.29828930,     0.10517006,   7.4426422119
    -0.17720950,     0.28105325,     0.10384372,   7.4884605408
    -0.14510249,     0.23650439,     0.09140188,   7.5255298615
    -0.12873787,     0.20105654,     0.07231870,   7.5385699272
