 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10)
   0.1234301850,   0.0875343904,   0.0957976580,   0.0961675569,   0.0907952413,   0.0891846269,   0.0927719623,   0.0977857709,   0.1074393764,   0.4015471339
   0.1144658104,   0.0901027471,   0.0954926237,   0.0961363092,   0.0910188481,   0.0892366990,   0.0926670134,   0.0976225734,   0.1072594076,   0.4012391269
   0.1078452170,   0.0917086527,   0.0952880979,   0.0960969999,   0.0912331268,   0.0892943665,   0.0925672650,   0.0974621251,   0.1070807129,   0.4009279609
   0.1016796082,   0.0926311538,   0.0951404274,   0.0960494578,   0.0914355442,   0.0893557370,   0.0924720913,   0.0973041952,   0.1069031283,   0.4006134868
   0.0962043926,   0.0930369720,   0.0950228348,   0.0959960148,   0.0916262418,   0.0894204229,   0.0923814327,   0.0971487835,   0.1067267135,   0.4002960026
   0.0911425576,   0.0930559188,   0.0949193984,   0.0959401503,   0.0918067992,   0.0894887298,   0.0922955200,   0.0969961360,   0.1065515578,   0.3999755681
   0.0875601247,   0.0928132087,   0.0948255360,   0.0958870575,   0.0919803157,   0.0895619690,   0.0922150910,   0.0968466401,   0.1063779667,   0.3996526599
   0.0838975608,   0.0923754424,   0.0947163478,   0.0958298296,   0.0921431705,   0.0896373987,   0.0921390578,   0.0966997966,   0.1062056497,   0.3993269503
   0.0801255628,   0.0917733759,   0.0945836529,   0.0957671627,   0.0922951922,   0.0897144601,   0.0920672044,   0.0965556279,   0.1060346216,   0.3989986181
   0.0774728805,   0.0910684690,   0.0944286659,   0.0957007781,   0.0924379081,   0.0897936746,   0.0919998810,   0.0964142978,   0.1058650538,   0.3986678123
   0.1012056917,   0.0907148123,   0.0942642763,   0.0956348702,   0.0925745443,   0.0898764059,   0.0919376835,   0.0962762386,   0.1056971848,   0.3983350098
   0.0983562917,   0.0913708732,   0.0941158757,   0.0955622122,   0.0927008912,   0.0899597332,   0.0918794349,   0.0961408690,   0.1055307165,   0.3979998529
   0.0943172351,   0.0916781202,   0.0939918533,   0.0954860672,   0.0928181112,   0.0900439769,   0.0918253139,   0.0960083380,   0.1053657457,   0.3976625502
   0.0903466567,   0.0917053819,   0.0938801169,   0.0954082906,   0.0929270759,   0.0901291519,   0.0917753726,   0.0958787799,   0.1052023917,   0.3973231018
   0.0866409689,   0.0914912820,   0.0937649831,   0.0953273326,   0.0930268839,   0.0902143344,   0.0917291939,   0.0957520604,   0.1050405204,   0.3969817460
   0.0832553431,   0.0910843015,   0.0936311111,   0.0952398628,   0.0931160301,   0.0902982056,   0.0916862637,   0.0956279114,   0.1048801169,   0.3966383338
   0.0802576542,   0.0905471519,   0.0934861153,   0.0951515064,   0.0931982771,   0.0903826579,   0.0916473269,   0.0955068022,   0.1047214493,   0.3962933123
   0.0763245076,   0.0898850486,   0.0933203846,   0.0950592086,   0.0932723135,   0.0904665440,   0.0916118920,   0.0953885987,   0.1045644358,   0.3959465623
   0.0729966238,   0.0891185775,   0.0931284279,   0.0949612334,   0.0933376700,   0.0905493051,   0.0915797204,   0.0952732190,   0.1044090465,   0.3955982327
   0.0700445175,   0.0882861912,   0.0929082558,   0.0948562771,   0.0933944583,   0.0906306133,   0.0915506259,   0.0951606035,   0.1042553782,   0.3952484131
   0.0680054948,   0.0874318108,   0.0926708356,   0.0947484598,   0.0934456140,   0.0907119811,   0.0915251747,   0.0950510949,   0.1041035801,   0.3948974311
   0.0659827217,   0.0865660831,   0.0924077332,   0.0946330056,   0.0934886858,   0.0907917172,   0.0915026367,   0.0949444026,   0.1039534956,   0.3945451975
   0.0970111340,   0.0858033970,   0.0921409428,   0.0945184752,   0.0935291946,   0.0908727944,   0.0914842486,   0.0948411897,   0.1038055494,   0.3941924274
   0.0962472185,   0.0865752250,   0.0918881223,   0.0943969935,   0.0935622156,   0.0909521282,   0.0914686173,   0.0947407931,   0.1036593914,   0.3938386142
   0.0978798941,   0.0871703625,   0.0916859657,   0.0942788422,   0.0935931727,   0.0910327435,   0.0914569348,   0.0946439058,   0.1035154685,   0.3934845030
