 NEE,GPP,Reco,FoliageC
     0.13719858,     0.14449470,     0.28169325,   0.7337674499
     0.20429148,     0.23127533,     0.43556678,   0.7016481757
     0.31481990,     0.14061669,     0.45543665,   0.6855906844
     0.29306021,     0.14005847,     0.43311876,   0.6400358677
     0.07444645,     0.25228781,     0.32673422,   0.6160694361
     0.21002714,     0.27951491,     0.48954207,   0.6468383670
     0.29921132,     0.23208247,     0.53129375,   0.6769873500
     0.28400448,     0.20693997,     0.49094445,   0.6659499407
     0.32567459,     0.27198336,     0.59765804,   0.6974484324
     0.40273443,     0.27840382,     0.68113828,   0.7418217063
     0.42854202,     0.27645513,     0.70499718,   0.7857125998
     0.35489511,     0.19326396,     0.54815912,   0.7870650291
     0.28568798,     0.20010422,     0.48579222,   0.7577371597
     0.26578641,     0.18296738,     0.44875377,   0.7296112776
     0.29335600,     0.26459998,     0.55795598,   0.7340775728
     0.36399847,     0.25743872,     0.62143725,   0.7716676593
     0.39929241,     0.26569995,     0.66499239,   0.8122918010
     0.36206627,     0.14279164,     0.50485796,   0.8209297061
     0.22697377,     0.21779826,     0.44477206,   0.8001629114
     0.28576279,     0.21556911,     0.50133193,   0.8023318052
     0.36174315,     0.25598145,     0.61772460,   0.8327482939
     0.52283549,     0.25717905,     0.78001457,   0.8728678823
     0.80419934,     0.24278930,     1.04698861,   0.8905764818
     0.47933275,     0.25138968,     0.73072243,   0.9244577289
     0.47089392,     0.19526249,     0.66615653,   0.9543175101
     0.33834988,     0.18430084,     0.52265072,   0.9202970266
     0.29474020,     0.21660888,     0.51134908,   0.8935010433
     0.18072434,     0.23412770,     0.41485211,   0.8817098737
     0.36880702,     0.23907050,     0.60787743,   0.9112480283
     0.53956002,     0.25184178,     0.79140174,   0.9473589063
     0.47029313,     0.25315207,     0.72344512,   0.9836843610
     0.53434414,     0.25731266,     0.79165673,   1.0210807323
     0.44404781,     0.22427049,     0.66831827,   1.0545226336
     0.37477770,     0.07011546,     0.44489321,   1.0479265451
     0.32116675,     0.29114681,     0.61231363,   0.9906195402
     0.48111191,     0.46294409,     0.94405591,   1.0099670887
     0.55261898,     0.39476261,     0.94738150,   1.0564080477
     0.63942558,     0.41274726,     1.05217290,   1.1237747669
     0.51683450,     0.25439337,     0.77122778,   1.1669621468
