 swc(1),swc(2),swc(3),swc(4),swc(5),swc(6),swc(7),swc(8),swc(9),swc(10),duplicate_swc(1),duplicate_swc(2),duplicate_swc(3),duplicate_swc(4)
   0.1096757054,   0.1249365881,   0.1166201010,   0.0741096586,   0.1620848179,   0.2083518803,   0.1431788504,   0.0853406042,   0.0797984600,   0.1539855152,   0.1095916629,   0.1248883381,   0.1165982708,   0.0741120875
   0.1080205366,   0.1240226552,   0.1162336320,   0.0740822256,   0.1620209515,   0.2082877308,   0.1431075335,   0.0849232823,   0.0793821290,   0.1539217085,   0.1079343632,   0.1239735112,   0.1162118614,   0.0740848482
   0.1079031751,   0.1236556619,   0.1158561409,   0.0740461871,   0.1619334668,   0.2082001418,   0.1430176795,   0.0845238790,   0.0789745450,   0.1538508683,   0.1078177914,   0.1236063242,   0.1158339530,   0.0740488842
   0.1079985276,   0.1236187816,   0.1156327948,   0.0740092918,   0.1618372053,   0.2081007361,   0.1429148465,   0.0841420889,   0.0785760805,   0.1537753046,   0.1079139039,   0.1235697120,   0.1156102493,   0.0740119889
   0.1077812016,   0.1232999340,   0.1154542416,   0.0739722475,   0.1617384702,   0.2079980820,   0.1428062916,   0.0837768465,   0.0781855062,   0.1536958367,   0.1076968312,   0.1232505515,   0.1154316068,   0.0739750192
   0.1050404608,   0.1224325001,   0.1151987463,   0.0739270672,   0.1616206467,   0.2078771889,   0.1426841319,   0.0834243745,   0.0778005868,   0.1536107510,   0.1049512774,   0.1223824620,   0.1151766479,   0.0739300326
   0.1044829935,   0.1218615845,   0.1148382276,   0.0738772079,   0.1614927202,   0.2077466697,   0.1425536871,   0.0830845535,   0.0774198249,   0.1535217762,   0.1043937951,   0.1218110397,   0.1148158759,   0.0738802776
   0.1048434600,   0.1216368824,   0.1145270094,   0.0738185793,   0.1613408029,   0.2075929940,   0.1424064040,   0.0827557743,   0.0770440176,   0.1534278095,   0.1047559306,   0.1215862334,   0.1145041361,   0.0738216490
   0.1011407450,   0.1204747483,   0.1141672358,   0.0737518743,   0.1611677855,   0.2074176222,   0.1422394961,   0.0824358016,   0.0766709298,   0.1533287168,   0.1010464653,   0.1204231158,   0.1141450182,   0.0737552270
   0.1012212187,   0.1201049909,   0.1137964502,   0.0736917034,   0.1610088646,   0.2072535008,   0.1420748830,   0.0821283907,   0.0762998760,   0.1532297134,   0.1011282355,   0.1200530753,   0.1137737408,   0.0736951157
