 NEE,GPP,Reco,FoliageC
     0.03022165,     0.00000000,     0.03022165,   0.1165600717
     0.03091244,     0.00000000,     0.03091244,   0.1034166887
     0.03577372,     0.00000000,     0.03577372,   0.0943303034
     0.03046532,     0.00000000,     0.03046532,   0.0825278983
     0.02873937,     0.00000000,     0.02873937,   0.0703813136
     0.02832193,     0.00000000,     0.02832193,   0.0612398647
     0.03399095,     0.00000000,     0.03399095,   0.0563133508
     0.04294832,     0.00000000,     0.04294832,   0.0539701246
     0.05086124,     0.00000000,     0.05086124,   0.0531444773
     0.04683879,     0.00000000,     0.04683879,   0.0523037836
     0.03972784,     0.00000000,     0.03972784,   0.0482599363
     0.03345160,     0.00000000,     0.03345160,   0.0429219007
     0.03246499,     0.00000000,     0.03246499,   0.0390847698
     0.03086794,     0.00000000,     0.03086794,   0.0348375626
     0.03237275,     0.00000000,     0.03237275,   0.0312114004
     0.02980671,     0.00000000,     0.02980671,   0.0274659898
     0.02885292,     0.00000000,     0.02885292,   0.0240075663
     0.02755459,     0.00000000,     0.02755459,   0.0211078059
     0.02843246,     0.00000000,     0.02843246,   0.0183171574
     0.02485754,     0.00000000,     0.02485754,   0.0153669221
     0.02461220,     0.00000000,     0.02461220,   0.0128382286
     0.02440565,     0.00000000,     0.02440565,   0.0107684694
     0.02415630,     0.00000000,     0.02415630,   0.0092260223
     0.02394733,     0.00000000,     0.02394733,   0.0083427066
     0.02365600,     0.00000000,     0.02365600,   0.0074072988
     0.02391341,     0.00000000,     0.02391341,   0.0064266138
     0.02980069,     0.00000000,     0.02980069,   0.0059307390
     0.02808329,     0.00000000,     0.02808329,   0.0053637931
     0.02564062,     0.00000000,     0.02564062,   0.0046133036
     0.02655278,     0.00000000,     0.02655278,   0.0039458987
     0.04206082,     0.00000000,     0.04206082,   0.0036282726
     0.03510560,     0.00000000,     0.03510560,   0.0031728395
     0.02966437,     0.00000000,     0.02966437,   0.0026233732
     0.02550985,     0.00000000,     0.02550985,   0.0020965647
     0.02317001,     0.00000000,     0.02317001,   0.0016371775
     0.02476420,     0.00000000,     0.02476420,   0.0012885474
     0.02751583,     0.00000000,     0.02751583,   0.0010107553
     0.03609452,     0.00000000,     0.03609452,   0.0007781865
     0.03288626,     0.00000000,     0.03288626,   0.0004979608
     0.03215364,     0.00000000,     0.03215364,   0.0002429384
     0.03130591,     0.00000000,     0.03130591,   0.0000429154
     0.04114587,     0.00000000,     0.04114587,   0.0000000000
     0.03461491,     0.00000000,     0.03461491,   0.0000000000
     0.03037937,     0.00000000,     0.03037937,   0.0000000000
     0.03003505,     0.00000000,     0.03003505,   0.0000000000
     0.02967590,     0.00000000,     0.02967590,   0.0000000000
     0.02854685,     0.00000000,     0.02854685,   0.0000000000
     0.03976270,     0.00000000,     0.03976270,   0.0000000000
     0.04297267,     0.00000000,     0.04297267,   0.0000000000
     0.03720697,     0.00000000,     0.03720697,   0.0000000000
     0.03965248,     0.00000000,     0.03965248,   0.0000000000
     0.02941073,     0.00000000,     0.02941073,   0.0000000000
     0.02571312,     0.00000000,     0.02571312,   0.0000000000
     0.03179912,     0.00000000,     0.03179912,   0.0000000000
     0.03570740,     0.00000000,     0.03570740,   0.0000000000
     0.02928493,     0.00000000,     0.02928493,   0.0000000000
     0.03697010,     0.00000000,     0.03697010,   0.0000000000
     0.04242777,     0.00000000,     0.04242777,   0.0000000000
     0.05082079,     0.00000000,     0.05082079,   0.0000000000
    -0.07547676,     0.13294536,     0.05746861,   0.0295462888
    -0.10480893,     0.15031415,     0.04550524,   0.0903757811
    -0.13220105,     0.17750661,     0.04530556,   0.1632712483
    -0.11300480,     0.17000075,     0.05699592,   0.2406744808
    -0.11521635,     0.17524919,     0.06003281,   0.3152817488
    -0.03499212,     0.08475552,     0.04976341,   0.3727876544
    -0.02640272,     0.06355029,     0.03714757,   0.3683963418
    -0.08272118,     0.12031670,     0.03759551,   0.3748471141
    -0.05737283,     0.09992092,     0.04254808,   0.4148111939
    -0.02673025,     0.05893333,     0.03220307,   0.4155125916
    -0.04558992,     0.07746738,     0.03187746,   0.4069913924
    -0.06015476,     0.09258787,     0.03243311,   0.4165162146
    -0.05553050,     0.09642732,     0.04089681,   0.4492260218
    -0.06440881,     0.11057710,     0.04616829,   0.4776139557
    -0.06153468,     0.10991681,     0.04838211,   0.5107610822
    -0.07673347,     0.12567744,     0.04894396,   0.5355191231
    -0.07407849,     0.12925588,     0.05517738,   0.5829813480
    -0.08193480,     0.14606985,     0.06413504,   0.6393988132
    -0.06687399,     0.11049799,     0.04362400,   0.6782022715
    -0.09067512,     0.13051572,     0.03984062,   0.7208144069
    -0.03237430,     0.06825981,     0.03588550,   0.7419403195
    -0.05476147,     0.08556666,     0.03080519,   0.7195695639
    -0.05896297,     0.09671674,     0.03775378,   0.7220544815
    -0.08314481,     0.12549524,     0.04235043,   0.7609349489
    -0.06557896,     0.11507308,     0.04949411,   0.8055773377
    -0.05860021,     0.10881619,     0.05021596,   0.8421370387
    -0.03401989,     0.07938735,     0.04536747,   0.8706433177
    -0.05957393,     0.11019349,     0.05061957,   0.8986312747
    -0.06817047,     0.12886572,     0.06069524,   0.9422705173
    -0.06044849,     0.11973804,     0.05928956,   0.9872121811
    -0.06418200,     0.12986711,     0.06568512,   1.0334166288
    -0.05005826,     0.11146737,     0.06140911,   1.0766723156
    -0.06253184,     0.12353184,     0.06099999,   1.1121882200
    -0.06409091,     0.13050269,     0.06641178,   1.1567672491
    -0.04981189,     0.11490776,     0.06509586,   1.1992529631
    -0.05671534,     0.11579756,     0.05908222,   1.2137815952
    -0.05236515,     0.11456452,     0.06219936,   1.2469199896
    -0.03862120,     0.09831450,     0.05969330,   1.2827647924
    -0.04500487,     0.09800300,     0.05299813,   1.3018186092
    -0.05935712,     0.11990851,     0.06055139,   1.3349516392
    -0.04835269,     0.11044470,     0.06209201,   1.3731145859
    -0.04976137,     0.11672431,     0.06696296,   1.4093375206
    -0.04408794,     0.10481474,     0.06072680,   1.4399312735
    -0.01574995,     0.06887823,     0.05312829,   1.4651138783
    -0.01835050,     0.06212557,     0.04377506,   1.4715695381
    -0.02865356,     0.07168487,     0.04303131,   1.4271239042
    -0.02880307,     0.06973802,     0.04093496,   1.3733810186
    -0.05414004,     0.10264812,     0.04850809,   1.3795682192
    -0.06007041,     0.12195455,     0.06188415,   1.4144517183
    -0.04665314,     0.11963039,     0.07297724,   1.4546370506
    -0.04539052,     0.12238098,     0.07699047,   1.4920523167
    -0.01420094,     0.06540111,     0.05120017,   1.5064221621
