year,doy,hour,Tair,Tsoil,Relhumid,VPD,Rain,Windspeed,Solradiation
2018,10,21,5.3204375,5.3204375,49.323125,0.891814631,0,3.87425,0
2018,10,22,6.01525,6.01525,46.954375,0.935877179,0,3.5015,0
2018,10,23,5.5091875,5.5091875,65.945625,0.904619681,0,2.4455,0
2018,11,0,2.6935625,2.6935625,88.75625,0.742283195,0,2.2855,0
2018,11,1,1.9816875,1.9816875,85.01875,0.704799637,0,1.7875,0
2018,11,2,1.8224375,1.8224375,80.18125,0.696834833,0,1.79375,0
2018,11,3,0.664375,0.664375,75.7825,0.641504352,0,1.86575,0
2018,11,4,-0.651625,-0.651625,72.98,0.582824014,0,1.97775,0
2018,11,5,-2.0615625,-2.0615625,72.15875,0.525591142,0,1.824875,0
2018,11,6,-3.1120625,-3.1120625,68.41625,0.486044398,0,2.156625,0
2018,11,7,-3.9971875,-3.9971875,69.144375,0.454836469,0,1.838,23.20625
2018,11,8,-3.1605625,-3.1605625,62.9725,0.484722566,0,1.702375,290.1
2018,11,9,-0.5118125,-0.5118125,53.89,0.589735384,0,1.0115,616.15
2018,11,10,1.641625,1.641625,46.5825,0.688509331,0,0.77975,822.75
2018,11,11,3.3578125,3.3578125,46.876875,0.77877102,0,0.647375,1030.025
2018,11,12,4.85225,4.85225,44.6425,0.863487073,0,1.1175,1075.75
2018,11,13,6.2759375,6.2759375,39.153125,0.95318962,0,0.99375,993.25
2018,11,14,6.840875,6.840875,37.159375,0.990720532,0,1.15275,798.95
2018,11,15,5.9315625,5.9315625,42.279375,0.931169335,0,1.902625,342.775
2018,11,16,4.2046875,4.2046875,48.448125,0.825498022,0,1.802,57.34
2018,11,17,2.031625,2.031625,57.120625,0.707852561,0,1.160875,8.173
2018,11,18,1.006875,1.006875,62.06625,0.657231437,0,1.236125,0
2018,11,19,0.36825,0.36825,64.589375,0.627697655,0,1.288875,0
2018,11,20,-0.8311875,-0.8311875,68.923125,0.575411013,0,0.67425,0
2018,11,21,-1.8476875,-1.8476875,71.89375,0.533836129,0,0.323875,0
2018,11,22,-2.90875,-2.90875,68.7825,0.493571674,0,0.578375,0
2018,11,23,-4.221,-4.221,65.3975,0.447431062,0,0.106875,0
2018,12,0,-5.7875625,-5.7875625,69.813125,0.397297362,0,0,0
2018,12,1,-6.5775625,-6.5775625,71.799375,0.373959937,0,0.025375,0
2018,12,2,-7.6155,-7.6155,76.961875,0.34526447,0,0.044875,0
2018,12,3,-6.512125,-6.512125,75.9,0.375885347,0,0.3805,0
2018,12,4,-5.5594375,-5.5594375,73.8975,0.404684144,0,1.252375,0
2018,12,5,-4.313625,-4.313625,69.170625,0.447386879,0,1.529375,0
2018,12,6,-1.6345,-1.6345,55.0025,0.542276503,0,1.267625,0
2018,12,7,-1.162875,-1.162875,52.5425,0.561497522,0,0.954,20.91325
2018,12,8,2.0060625,2.0060625,46.4375,0.716429875,0,1.139375,260.23
2018,12,9,8.7381875,8.7381875,27.57375,1.131467762,0,0.651,603.825
2018,12,10,10.8,10.8,23.169375,1.296353493,0,2.74175,850.4
2018,12,11,12.600625,12.600625,20.156875,1.459769976,0,3.711625,1038.25
2018,12,12,13.554375,13.554375,18.576875,1.554731697,0,4.209875,1158.75
2018,12,13,13.36,13.36,17.8375,1.533928247,0,4.00025,1017
2018,12,14,12.996875,12.996875,17.765625,1.497693566,0,3.169,808.1
2018,12,15,11.609375,11.609375,19.245625,1.366753464,0,2.551125,356.3
2018,12,16,9.6725,9.6725,23.453125,1.201924708,0,2.428625,57.51
2018,12,17,6.4430625,6.4430625,29.556875,0.965766187,0,0.7325,8.3005
2018,12,18,3.68025,3.68025,39.76625,0.795684025,0,1.360875,0
2018,12,19,3.38675,3.38675,41.7325,0.778878768,0,0.80175,0
2018,12,20,1.951375,1.951375,48.789375,0.703863631,0,0.91625,0
2018,12,21,-0.2098125,-0.2098125,55.765,0.601932258,0,0.835625,0
2018,12,22,-1.1565,-1.1565,60.67125,0.561806757,0,0.3545,0
2018,12,23,-2.2394375,-2.2394375,66.454375,0.518792198,0,0.021875,0
2018,13,0,-4.4890625,-4.4890625,73.251875,0.438568385,0,0.693375,0
