Order,Variable,Value,DA_Check,DA_Min,DA_Max,Likely range,Unit,Variable explaination,References,Note 1
1,rdepth,60,0,60,300,,cm,Maximum root depth,,
2,SLA,75,0,10,200,34-124,cm2/g,Specific leaf area,"Reich et al., Oecologia 1998,114: 471-482.",
3,stom_n,2,0,2,2,,unitless,,,1 for amphi leaf; 2 for hypostomatous leaf
4,Ds0,2000,0,1000,4000,1000-4000,Pa,An emperical constant reflecting the sensitivity of stoma to vapor pressure deficit,700-1500 in Leuning 1995; 1500-3500 in Leuning et al. 1995,
5,Vcmax,80,0,10,180,,umol/m2/s,Maximum Vcmax at 25oC,,
6,tau_L,0.4,0,0.1,3,0.2-1.5,yr,Turnover time of leaf,,"Can be changed, likely between 0.2 and 1.5, according to Reich et al., Oecologia 1998,114: 471-482."
7,tau_S,1.5,0,0.1,5,,yr,Turnover time of stem,,
8,tau_R,0.3,0,0.1,6,,yr,Turnover time of root,,
9,tau_F,0.1,0,0.1,0.5,,yr,Maximum turnover time of fine litter,,
10,tau_C,0.8,0,0.5,20,,yr,Maximum turnover time of coarse litter,,
11,tau_Micr,0.1,0,0.05,0.5,,yr,Turnover time of soil active C,,
12,tau_Slow,100,0,5,500,,yr,Turnover time of soil slow-cycling C,,
13,tau_Pass,500,0,500,4000,,yr,Turnover time of soil passive C,,
14,gddonset,100,0,100,200,,oC,Accumulated daily mean temperature need to start growth,,
15,Q10,2,0,1,3,,unitless,Q10 for heterophic respiration,,
16,gcostpro,0.1,0,0.05,0.2,0.05-0.20,unitless,Proportion of GPP used for the production of new tissue,,
17,mresp20(1),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of leaf at 20oC,"Arora, V. K. (2003) ",
18,mresp20(2),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of stem at 20oC,"Arora, V. K. (2003) ",
19,mresp20(3),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of root at 20oC,"Arora, V. K. (2003) ",
20,Q10paccrate(1),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
21,Q10paccrate(2),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
22,Q10paccrate(3),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
23,Topt,300,0,293,310,,K,Optimal temperature (as K) of Vcmax,Medlyn et al. (2002),
24,Ha,60000,0,20000,80000,,J/mol,Energy need for photosynthesis,Medlyn et al. (2002),
25,Hd,200000,0,180000,220000,,J/mol,Energy need for photosynthesis,Medlyn et al. (2002),
26,f_F2M,0.34661484,0,0.1,0.8,,unitless,Fraction of fine litter C transferred to soil microbial C pool,,
27,f_C2M,0.17475176,0,0.1,0.5,,unitless,Fraction of coarse litter C transferred to soil microbial C pool,,
28,f_C2S,0.17910267,0,0.1,0.5,,unitless,Fraction of coarse litter C transferred to soil slow C pool,,
29,f_M2S,0.40584937,0,0.1,0.5,,unitless,Fraction of soil microbial C pool to soil slow C pool,,
30,f_M2P,0.31630984,0,0,0.5,,unitless,Fraction of soil microbial C pool to soil passive C pool,,
31,f_S2P,0.4161931,0,0,0.5,,unitless,Fraction of soil slow C pool to soil passive C pool,,
32,f_S2M,0.21644858,0,0.1,0.5,,unitless,Fraction of soil slow C pool to soil microbial C pool,,
33,f_P2M,0.65258062,0,0.1,0.8,,unitless,Fraction of soil passive C pool to soil microbial C pool,,
34,basew4sresp,0.09678299,0,0.01,0.3,,unitless,Base soil water scaler for soil respiration,,
35,wsmax(1),0.29352474,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
36,wsmax(2),0.3129431,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
37,wsmax(3),0.28635776,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
38,wsmax(4),0.30093679,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
39,wsmax(5),0.15985341,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
40,wsmax(6),0.20181571,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
41,wsmax(7),0.15902163,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
42,wsmax(8),0.27293697,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
43,wsmax(9),0.29081979,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
44,wsmax(10),0.21492726,1,0.14,0.32,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
45,wsmin(1),0.08065206,1,0.04,0.09,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
