day,swc_22p5,Date
338,0.140062267,12/4/2018
339,0.140135683,12/5/2018
340,0.139802191,12/6/2018
341,0.139701988,12/7/2018
342,0.139584392,12/8/2018
343,0.13939989,12/9/2018
344,0.139230044,12/10/2018
345,0.139003776,12/11/2018
346,0.1385217,12/12/2018
347,0.138027589,12/13/2018
348,0.137966069,12/14/2018
349,0.137764828,12/15/2018
350,0.137298766,12/16/2018
351,0.136951637,12/17/2018
352,0.136494354,12/18/2018
353,0.136031522,12/19/2018
354,0.135644709,12/20/2018
355,0.135449813,12/21/2018
356,0.134837422,12/22/2018
357,0.134529412,12/23/2018
358,0.134515939,12/24/2018
359,0.134046528,12/25/2018
360,0.133931149,12/26/2018
361,0.133723116,12/27/2018
362,0.133733849,12/28/2018
363,0.133814597,12/29/2018
364,0.133856337,12/30/2018
365,0.133890176,12/31/2018
366,0.133853129,1/1/2019
367,0.133871341,1/2/2019
368,0.133957194,1/3/2019
369,0.133933459,1/4/2019
370,0.133619533,1/5/2019
371,0.145624209,1/6/2019
372,0.162777147,1/7/2019
373,0.16241193,1/8/2019
374,0.160962154,1/9/2019
375,0.159711786,1/10/2019
376,0.158349685,1/11/2019
377,0.157509353,1/12/2019
378,0.156639747,1/13/2019
379,0.156022244,1/14/2019
380,0.155598118,1/15/2019
381,0.154927063,1/16/2019
382,0.154240498,1/17/2019
383,0.153339845,1/18/2019
384,0.152540333,1/19/2019
385,0.151879131,1/20/2019
386,0.151039859,1/21/2019
387,0.150079163,1/22/2019
388,0.14972446,1/23/2019
389,0.149304082,1/24/2019
390,0.148853689,1/25/2019
391,0.148453698,1/26/2019
392,0.147993682,1/27/2019
393,0.147345824,1/28/2019
394,0.147058196,1/29/2019
395,0.146882743,1/30/2019
396,0.146520386,1/31/2019
397,0.14588656,2/1/2019
398,0.145327252,2/2/2019
399,0.144579691,2/3/2019
400,0.143829243,2/4/2019
401,0.143159877,2/5/2019
402,0.142376192,2/6/2019
403,0.141734243,2/7/2019
404,0.14146457,2/8/2019
405,0.141470223,2/9/2019
406,0.141145654,2/10/2019
407,0.140598243,2/11/2019
408,0.140281065,2/12/2019
409,0.13972329,2/13/2019
410,0.138954412,2/14/2019
411,0.138145695,2/15/2019
412,0.137253286,2/16/2019
413,0.136880609,2/17/2019
414,0.136820373,2/18/2019
415,0.136958721,2/19/2019
416,0.136996256,2/20/2019
417,0.137002189,2/21/2019
418,0.136689522,2/22/2019
419,0.136219632,2/23/2019
420,0.13602982,2/24/2019
421,0.135607394,2/25/2019
422,0.13489034,2/26/2019
423,0.134152051,2/27/2019
424,0.133549163,2/28/2019
425,0.132730467,3/1/2019
426,0.131944758,3/2/2019
427,0.131560446,3/3/2019
428,0.131901311,3/4/2019
429,0.132132671,3/5/2019
430,0.132202708,3/6/2019
431,0.131512213,3/7/2019
432,0.130718638,3/8/2019
433,0.130111451,3/9/2019
434,0.129675099,3/10/2019
435,0.129609022,3/11/2019
436,0.13084918,3/12/2019
437,0.137510912,3/13/2019
438,0.136045909,3/14/2019
439,0.135471602,3/15/2019
440,0.134920828,3/16/2019
441,0.134156474,3/17/2019
442,0.133347711,3/18/2019
443,0.132620716,3/19/2019
444,0.132193391,3/20/2019
445,0.131790216,3/21/2019
446,0.144389395,3/22/2019
447,0.15331197,3/23/2019
448,0.151950056,3/24/2019
449,0.149881196,3/25/2019
450,0.147833441,3/26/2019
451,0.145946372,3/27/2019
452,0.143700965,3/28/2019
453,0.141555509,3/29/2019
454,0.139981923,3/30/2019
455,0.139412209,3/31/2019
456,0.13905972,4/1/2019
457,0.138156756,4/2/2019
458,0.137016198,4/3/2019
459,0.135779614,4/4/2019
460,0.134434443,4/5/2019
461,0.133119695,4/6/2019
462,0.131788559,4/7/2019
463,0.130387536,4/8/2019
464,0.129024058,4/9/2019
465,0.127574749,4/10/2019
466,0.126845873,4/11/2019
467,0.126751418,4/12/2019
468,0.126315848,4/13/2019
469,0.126672678,4/14/2019
470,0.126220156,4/15/2019
471,0.125535602,4/16/2019
472,0.125151829,4/17/2019
473,0.125652928,4/18/2019
474,0.12532627,4/19/2019
475,0.124747718,4/20/2019
476,0.124434501,4/21/2019
477,0.124134293,4/22/2019
478,0.12444193,4/23/2019
479,0.124835172,4/24/2019
480,0.124134061,4/25/2019
481,0.12389461,4/26/2019
482,0.127465143,4/27/2019
483,0.129331341,4/28/2019
484,0.129035943,4/29/2019
485,0.128730232,4/30/2019
486,0.127981773,5/1/2019
487,0.127177524,5/2/2019
488,0.126520608,5/3/2019
489,0.125618951,5/4/2019
490,0.124799098,5/5/2019
491,0.123800215,5/6/2019
492,0.123024188,5/7/2019
493,0.122606456,5/8/2019
494,0.124995163,5/9/2019
495,0.129558218,5/10/2019
496,0.140395356,5/11/2019
497,0.141926239,5/12/2019
498,0.140593826,5/13/2019
499,0.138373509,5/14/2019
500,0.136211227,5/15/2019
501,0.134241701,5/16/2019
502,0.132211239,5/17/2019
503,0.130450897,5/18/2019
504,0.129183591,5/19/2019
505,0.128029736,5/20/2019
506,0.126891271,5/21/2019
507,0.12602595,5/22/2019
508,0.125075672,5/23/2019
509,0.124075116,5/24/2019
510,0.122933095,5/25/2019
511,0.121722759,5/26/2019
512,0.120817234,5/27/2019
513,0.119967238,5/28/2019
514,0.119334987,5/29/2019
515,0.119005274,5/30/2019
516,0.118635014,5/31/2019
517,0.117920608,6/1/2019
518,0.11748267,6/2/2019
519,0.117167393,6/3/2019
520,0.116685024,6/4/2019
521,0.11622559,6/5/2019
522,0.115943154,6/6/2019
523,0.115279441,6/7/2019
524,0.114594908,6/8/2019
525,0.113922648,6/9/2019
526,0.113462345,6/10/2019
527,0.113239299,6/11/2019
528,0.112716157,6/12/2019
529,0.112374109,6/13/2019
530,0.111909491,6/14/2019
531,0.111304056,6/15/2019
532,0.110971533,6/16/2019
533,0.110813584,6/17/2019
534,0.111731114,6/18/2019
535,0.112410829,6/19/2019
536,0.112801255,6/20/2019
537,0.112327064,6/21/2019
538,0.111670243,6/22/2019
539,0.111106883,6/23/2019
540,0.110625508,6/24/2019
541,0.110110241,6/25/2019
542,0.109573894,6/26/2019
543,0.109146494,6/27/2019
544,0.109020625,6/28/2019
545,0.109027869,6/29/2019
546,0.108762037,6/30/2019
547,0.108422226,7/1/2019
548,0.108198588,7/2/2019
549,0.108022882,7/3/2019
550,0.107669868,7/4/2019
551,0.107199951,7/5/2019
552,0.106888468,7/6/2019
553,0.107042876,7/7/2019
554,0.10683613,7/8/2019
555,0.1066486,7/9/2019
556,0.106319793,7/10/2019
557,0.106016689,7/11/2019
558,0.105692958,7/12/2019
559,0.105341621,7/13/2019
560,0.104931887,7/14/2019
561,0.10515171,7/15/2019
562,0.109809233,7/16/2019
563,0.122101354,7/17/2019
564,0.117636806,7/18/2019
565,0.114112109,7/19/2019
566,0.111495261,7/20/2019
567,0.109541452,7/21/2019
568,0.108415981,7/22/2019
569,0.10755537,7/23/2019
570,0.106804594,7/24/2019
571,0.106067008,7/25/2019
572,0.105516626,7/26/2019
573,0.105101901,7/27/2019
574,0.104782617,7/28/2019
575,0.104971911,7/29/2019
576,0.105018032,7/30/2019
577,0.10469565,7/31/2019
578,0.104361294,8/1/2019
579,0.103854501,8/2/2019
580,0.103916045,8/3/2019
581,0.104301088,8/4/2019
582,0.104456564,8/5/2019
583,0.104158448,8/6/2019
584,0.103996444,8/7/2019
585,0.1036033,8/8/2019
586,0.103280352,8/9/2019
587,0.103191606,8/10/2019
588,0.102945237,8/11/2019
589,0.102665651,8/12/2019
590,0.102342831,8/13/2019
591,0.102199308,8/14/2019
592,0.102015615,8/15/2019
593,0.101873205,8/16/2019
594,0.101628987,8/17/2019
595,0.101377726,8/18/2019
596,0.101087316,8/19/2019
597,0.100694698,8/20/2019
598,0.100489263,8/21/2019
599,0.100341943,8/22/2019
600,0.100332129,8/23/2019
601,0.100209989,8/24/2019
602,0.100088546,8/25/2019
603,0.09981223,8/26/2019
604,0.099338363,8/27/2019
605,0.099327392,8/28/2019
606,0.099140215,8/29/2019
607,0.09881618,8/30/2019
608,0.098680768,8/31/2019
609,0.098537238,9/1/2019
610,0.098330364,9/2/2019
611,0.098036655,9/3/2019
612,0.097705798,9/4/2019
613,0.097519424,9/5/2019
614,0.097246109,9/6/2019
615,0.096934713,9/7/2019
616,0.096896977,9/8/2019
617,0.096999287,9/9/2019
618,0.096824165,9/10/2019
619,0.096607363,9/11/2019
620,0.096342185,9/12/2019
621,0.096173428,9/13/2019
622,0.096041963,9/14/2019
623,0.095865127,9/15/2019
624,0.095764246,9/16/2019
625,0.095605119,9/17/2019
626,0.095417478,9/18/2019
627,0.095196863,9/19/2019
628,0.094902318,9/20/2019
629,0.094836165,9/21/2019
630,0.094549607,9/22/2019
631,0.094494482,9/23/2019
632,0.094395778,9/24/2019
633,0.094364661,9/25/2019
634,0.094230415,9/26/2019
635,0.094102339,9/27/2019
636,0.093914399,9/28/2019
637,0.093849349,9/29/2019
638,0.093615448,9/30/2019
639,0.093222486,10/1/2019
640,0.093667899,10/2/2019
641,0.093843331,10/3/2019
642,0.093899145,10/4/2019
643,0.09530403,10/5/2019
644,0.095639255,10/6/2019
645,0.095644534,10/7/2019
646,0.095767044,10/8/2019
647,0.095608874,10/9/2019
648,0.095211839,10/10/2019
649,0.095018145,10/11/2019
650,0.095353933,10/12/2019
651,0.095358403,10/13/2019
652,0.095308721,10/14/2019
653,0.095087429,10/15/2019
654,0.094835574,10/16/2019
655,0.094816199,10/17/2019
656,0.094545233,10/18/2019
657,0.094240623,10/19/2019
658,0.094216561,10/20/2019
659,0.094070665,10/21/2019
660,0.0941303,10/22/2019
661,0.094153065,10/23/2019
662,0.093766491,10/24/2019
663,0.094174698,10/25/2019
664,0.096340869,10/26/2019
665,0.096479582,10/27/2019
666,0.096552646,10/28/2019
667,0.096933466,10/29/2019
668,0.097127025,10/30/2019
669,0.097357214,10/31/2019
670,0.097499978,11/1/2019
671,0.097548084,11/2/2019
672,0.097636822,11/3/2019
673,0.097541908,11/4/2019
674,0.097381186,11/5/2019
675,0.097379766,11/6/2019
676,0.097245127,11/7/2019
677,0.09725796,11/8/2019
678,0.097150338,11/9/2019
679,0.097090141,11/10/2019
680,0.096747516,11/11/2019
681,0.096950072,11/12/2019
682,0.097164463,11/13/2019
683,0.097040476,11/14/2019
684,0.097122058,11/15/2019
685,0.097118655,11/16/2019
686,0.096840692,11/17/2019
687,0.096903582,11/18/2019
688,0.096764091,11/19/2019
689,0.096716696,11/20/2019
690,0.096642418,11/21/2019
691,0.098127971,11/22/2019
692,0.102641425,11/23/2019
693,0.103075957,11/24/2019
694,0.102636087,11/25/2019
695,0.10202509,11/26/2019
696,0.101830623,11/27/2019
697,0.102019791,11/28/2019
698,0.10149132,11/29/2019
703,0.110679445,12/4/2019
704,0.110451904,12/5/2019
705,0.110100138,12/6/2019
706,0.109824184,12/7/2019
707,0.10941542,12/8/2019
708,0.109049296,12/9/2019
709,0.108992859,12/10/2019
710,0.108885493,12/11/2019
711,0.108661036,12/12/2019
712,0.108429057,12/13/2019
713,0.108167358,12/14/2019
714,0.107943211,12/15/2019
715,0.107920637,12/16/2019
716,0.108041036,12/17/2019
717,0.108134023,12/18/2019
718,0.108029495,12/19/2019
719,0.107969371,12/20/2019
720,0.107902453,12/21/2019
721,0.107728103,12/22/2019
722,0.107507274,12/23/2019
723,0.107263045,12/24/2019
724,0.107026893,12/25/2019
725,0.106938936,12/26/2019
726,0.106631154,12/27/2019
727,0.106990111,12/28/2019
728,0.107277701,12/29/2019
729,0.107706454,12/30/2019
730,0.107969767,12/31/2019
731,0.108268345,1/1/2020
732,0.108244606,1/2/2020
733,0.108183194,1/3/2020
734,0.108246985,1/4/2020
735,0.108136756,1/5/2020
736,0.107950711,1/6/2020
737,0.107844682,1/7/2020
738,0.107752542,1/8/2020
739,0.107594489,1/9/2020
740,0.107637396,1/10/2020
741,0.107564257,1/11/2020
742,0.107568124,1/12/2020
743,0.107623491,1/13/2020
744,0.107572196,1/14/2020
745,0.107412775,1/15/2020
746,0.107430406,1/16/2020
747,0.107440448,1/17/2020
748,0.107589379,1/18/2020
749,0.107764244,1/19/2020
750,0.107966258,1/20/2020
751,0.108126244,1/21/2020
752,0.108293224,1/22/2020
753,0.108275257,1/23/2020
754,0.108282244,1/24/2020
755,0.108242215,1/25/2020
756,0.1081625,1/26/2020
757,0.108255684,1/27/2020
758,0.108191259,1/28/2020
759,0.108317075,1/29/2020
760,0.108519006,1/30/2020
761,0.108542583,1/31/2020
762,0.108677799,2/1/2020
763,0.108531199,2/2/2020
764,0.10821528,2/3/2020
765,0.107940297,2/4/2020
766,0.108192663,2/5/2020
767,0.108358128,2/6/2020
768,0.108476101,2/7/2020
769,0.108686978,2/8/2020
770,0.108795328,2/9/2020
771,0.108697671,2/10/2020
772,0.108619105,2/11/2020
773,0.108679833,2/12/2020
774,0.108734699,2/13/2020
775,0.108781682,2/14/2020
776,0.109022222,2/15/2020
777,0.109131168,2/16/2020
778,0.1091387,2/17/2020
779,0.109111455,2/18/2020
780,0.109429435,2/19/2020
781,0.109522255,2/20/2020
782,0.109844208,2/21/2020
783,0.109890994,2/22/2020
784,0.109738618,2/23/2020
785,0.109370922,2/24/2020
787,0.109779343,2/26/2020
788,0.109842586,2/27/2020
789,0.109732133,2/28/2020
790,0.109639205,2/29/2020
791,0.109367901,3/1/2020
792,0.109186741,3/2/2020
793,0.109126156,3/3/2020
794,0.109118988,3/4/2020
795,0.108955314,3/5/2020
796,0.108891354,3/6/2020
797,0.108734984,3/7/2020
798,0.108505443,3/8/2020
799,0.108307321,3/9/2020
800,0.108077019,3/10/2020
801,0.107810488,3/11/2020
802,0.107433101,3/12/2020
803,0.106838036,3/13/2020
804,0.107373606,3/14/2020
805,0.107302887,3/15/2020
806,0.107387546,3/16/2020
808,0.107491188,3/18/2020
809,0.107369784,3/19/2020
810,0.10737812,3/20/2020
811,0.107406773,3/21/2020
812,0.107343502,3/22/2020
813,0.107350158,3/23/2020
814,0.107062462,3/24/2020
815,0.10677986,3/25/2020
816,0.10650224,3/26/2020
817,0.106159351,3/27/2020
818,0.105739095,3/28/2020
819,0.10571106,3/29/2020
820,0.105646792,3/30/2020
821,0.105402916,3/31/2020
822,0.1051888,4/1/2020
823,0.104848274,4/2/2020
824,0.104300181,4/3/2020
825,0.104316303,4/4/2020
826,0.104191023,4/5/2020
827,0.104001338,4/6/2020
828,0.10360845,4/7/2020
829,0.103203766,4/8/2020
830,0.102903214,4/9/2020
831,0.102583949,4/10/2020
832,0.102350099,4/11/2020
833,0.1020383,4/12/2020
834,0.101803556,4/13/2020
835,0.102135475,4/14/2020
836,0.102367431,4/15/2020
837,0.102370493,4/16/2020
838,0.102032452,4/17/2020
839,0.10203742,4/18/2020
840,0.101849326,4/19/2020
841,0.101544881,4/20/2020
842,0.101435589,4/21/2020
843,0.101138691,4/22/2020
844,0.100855011,4/23/2020
845,0.100572466,4/24/2020
846,0.100266914,4/25/2020
847,0.100085625,4/26/2020
848,0.099923169,4/27/2020
849,0.099740468,4/28/2020
850,0.099372438,4/29/2020
851,0.099209119,4/30/2020
852,0.098949719,5/1/2020
853,0.098671622,5/2/2020
854,0.098373518,5/3/2020
855,0.098177493,5/4/2020
856,0.097838831,5/5/2020
857,0.097687093,5/6/2020
858,0.097537851,5/7/2020
859,0.097136331,5/8/2020
860,0.097144416,5/9/2020
861,0.096934297,5/10/2020
862,0.097092974,5/11/2020
863,0.097203419,5/12/2020
864,0.096972852,5/13/2020
865,0.096775668,5/14/2020
866,0.096571996,5/15/2020
867,0.096367615,5/16/2020
868,0.096170251,5/17/2020
869,0.096042077,5/18/2020
870,0.095750306,5/19/2020
871,0.095479287,5/20/2020
872,0.095282207,5/21/2020
873,0.095120753,5/22/2020
874,0.095033248,5/23/2020
875,0.094849578,5/24/2020
876,0.094282634,5/25/2020
877,0.094441098,5/26/2020
878,0.094419776,5/27/2020
879,0.094259609,5/28/2020
880,0.094125118,5/29/2020
881,0.093938103,5/30/2020
882,0.093805211,5/31/2020
883,0.093559102,6/1/2020
884,0.09294386,6/2/2020
885,0.092474048,6/3/2020
886,0.092209791,6/4/2020
887,0.092098215,6/5/2020
888,0.091968786,6/6/2020
889,0.091811127,6/7/2020
890,0.091503772,6/8/2020
891,0.091086457,6/9/2020
892,0.091031496,6/10/2020
893,0.090929267,6/11/2020
894,0.090692125,6/12/2020
895,0.090443446,6/13/2020
896,0.090049638,6/14/2020
897,0.089897179,6/15/2020
898,0.08980213,6/16/2020
899,0.089723672,6/17/2020
900,0.089405453,6/18/2020
901,0.089105536,6/19/2020
902,0.088876981,6/20/2020
903,0.088705919,6/21/2020
904,0.088381085,6/22/2020
905,0.088645577,6/23/2020
906,0.094571034,6/24/2020
907,0.098084715,6/25/2020
908,0.098607089,6/26/2020
909,0.098356161,6/27/2020
910,0.097955433,6/28/2020
911,0.097435219,6/29/2020
912,0.096887507,6/30/2020
913,0.096301589,7/1/2020
914,0.095725476,7/2/2020
915,0.095342992,7/3/2020
916,0.095357421,7/4/2020
917,0.095300825,7/5/2020
918,0.095832635,7/6/2020
919,0.095860274,7/7/2020
920,0.095683646,7/8/2020
921,0.095461303,7/9/2020
922,0.095105454,7/10/2020
923,0.094764225,7/11/2020
924,0.094415125,7/12/2020
925,0.09416461,7/13/2020
926,0.09399741,7/14/2020
927,0.093644231,7/15/2020
928,0.093438837,7/16/2020
929,0.093191262,7/17/2020
930,0.09301427,7/18/2020
931,0.092685608,7/19/2020
932,0.092440232,7/20/2020
933,0.092114826,7/21/2020
934,0.09192348,7/22/2020
935,0.091729554,7/23/2020
936,0.091919796,7/24/2020
937,0.092907868,7/25/2020
938,0.093271635,7/26/2020
939,0.093427569,7/27/2020
940,0.093344445,7/28/2020
941,0.094444432,7/29/2020
942,0.095074774,7/30/2020
